query,seendate,url,title,description,language,domain,sourceCountry,socialimage,company,ticker
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 22:00:00+00:00,https://www.yahoo.com/news/articles/explainer-india-us-trade-pact-114743564.html,Explainer - India - US trade pact and its impact on millions of Indian farmers,,English,yahoo.com,,https://s.yimg.com/os/en/reuters.com/3995d2dc1e474cc44e59cf190bc9b1a4,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 22:00:00+00:00,https://www.businesstimes.com.sg/podcasts/us-exceptionalism-truly-dead,Is US exceptionalism truly dead ? ,,English,businesstimes.com.sg,,https://cassette.sphdigital.com.sg/image/businesstimes/eb96292b0127384591cdc5bf4be832e665216f493c1ba8786762636195607334?&f=webp,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 22:15:00+00:00,https://markets.financialcontent.com/stocks/article/stockstory-2026-2-9-onsemi-nasdaqon-reports-q4-in-line-with-expectations-inventory-levels-improve,"FinancialContent - onsemi ( NASDAQ : ON ) Reports Q4 In Line With Expectations , Inventory Levels Improve",,English,markets.financialcontent.com,,,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 22:15:00+00:00,https://www.murcia.com/noticias/2026/02/09-el-parque-metropolitano-oeste-inicia-su-puesta-en-marcha-con-el-respaldo-de-la-sociedad-civil-murciana.asp,El Parque Metropolitano Oeste inicia su puesta en marcha con el respaldo de la sociedad civil murciana,,Spanish,murcia.com,,https://www.murcia.com/noticias/fotos/090220261337571.jpg,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 22:15:00+00:00,https://markets.financialcontent.com/stocks/article/stockstory-2026-2-9-goodyears-nasdaqgt-q4-cy2025-sales-beat-estimates,FinancialContent - Goodyear ( NASDAQ : GT ) Q4 CY2025 Sales Beat Estimates,,English,markets.financialcontent.com,,https://news-assets.stockstory.org/cover-images/the-goodyear-tire-rubber-company-cover-image-069aa667ffe3_2025-12-08-131543_natb.jpeg,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 22:15:00+00:00,https://www.klcc.org/npr-news/2026-02-09/small-businesses-are-getting-help-paying-tariffs-at-a-high-cost,Small businesses are getting help paying tariffs -- at a high cost,,English,klcc.org,,http://npr-brightspot.s3.amazonaws.com/fb/00/06d203a144a5b123484c6c04111d/cut-buddy-npr-cw-6357.jpg,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 22:15:00+00:00,https://www.wcsufm.org/latest-from-npr/2026-02-09/small-businesses-are-getting-help-paying-tariffs-at-a-high-cost,Small businesses are getting help paying tariffs -- at a high cost,,English,wcsufm.org,,http://npr-brightspot.s3.amazonaws.com/fb/00/06d203a144a5b123484c6c04111d/cut-buddy-npr-cw-6357.jpg,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 22:15:00+00:00,http://www.qhrb.com.cn/articles/342703,聚焦重点 精准发力 进一步加强农产品期货市场建设 _ 期货日报网,,Chinese,qhrb.com.cn,,,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 22:30:00+00:00,https://eldiariodesonora.com.mx/espectaculos/2026/02/09/yuri-aclara-su-situacion-netflix-obsesion-estetica-mijares.html,Yuri aclara su situación con Netflix y la  obsesión  estética de Mijares,,Spanish,eldiariodesonora.com.mx,,https://eldiariodesonora.com.mx/uploads/images/migration/image_750x415_17706589903769.webp,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 22:30:00+00:00,https://www.163.com/dy/article/KLCRLH420519C6T9.html,道指再创历史新高 微软涨超3 % ,,Chinese,163.com,,,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 23:00:00+00:00,https://www.aktiencheck.de/analysen/Artikel-Dow_Jones_Analyse_Microsoft_NVIDIA_und_Cisco_entfesseln_Wall_Street_Dow_Jones_Gewinner_Verlierer_Tages-19454389,"Dow Jones Analyse : Microsoft , NVIDIA und Cisco entfesseln die Wall Street – Dow Jones Gewinner & Verlierer des Tages ( aktiencheck . de ) ",,German,aktiencheck.de,,,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 23:00:00+00:00,https://www.argaam.com:443/ar/article/articledetail/id/1879014,ماسك ونبوءة التريليون,,Arabic,argaam.com,,https://argaamplus.s3.amazonaws.com/3089918c-3266-4d0d-84bd-415d21797d11.jpeg,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 23:00:00+00:00,https://www.ijpr.org/npr-news/2026-02-09/a-shadowy-industry-is-helping-small-businesses-pay-tariffs-at-a-high-cost,A shadowy industry is helping small businesses pay tariffs at a high cost,,English,ijpr.org,,http://npr-brightspot.s3.amazonaws.com/fb/00/06d203a144a5b123484c6c04111d/cut-buddy-npr-cw-6357.jpg,Apple,AAPL
"
        (""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)
        ",2026-02-09 23:00:00+00:00,https://www.fool.com/investing/2026/02/09/waymo-just-raised-another-16-billion-alphabet-ai/,Waymo Just Raised Another $16 Billion . Does That Make Alphabet the Ultimate AI Stock for 2026 ? ,,English,fool.com,,https://g.foolcdn.com/editorial/images/854616/waymo_vehicle.png,Apple,AAPL
