"Features","rho","pvalue"
"composite","0.0984","0.0005"
"rsi_14","-0.069","0.0139"
"mom_1d","-0.0642","0.0214"
"volume_z","0.0629","0.0241"
"sent_mom_3d","-0.0351","0.2125"
"neg_ratio_x_mom1d","-0.0563","0.0437"
"dist_from_ma10","-0.0523","0.0609"
"sent_x_mom1d","0.0507","0.0695"
"mom_2d","0.034","0.2231"
"mom_5d_avg","-0.0311","0.2648"
"mean_sent","-0.0349","0.2118"
"neg_extreme_20","0.0154","0.5813"
"vol_10d","-0.0066","0.8124"
"vol_20d","-0.0008","0.9785"
"sent_5d_avg","-0.0165","0.5598"
"sent_surprise","-0.0285","0.3147"
"fb_mean_sent","-0.0162","0.5681"
"fb_std_sent","-0.0565","0.0463"
"fb_neg_ratio","-0.0497","0.0800"
"fb_confidence","-0.0409","0.1492"
"fb_sent_surprise","-0.01","0.7251"
"fb_sent_x_mom1d","0.0083","0.7713"
"vix_close","0.0312","0.2715"
"vix_change","0.1161","0.0000"
"vix_high","0.0242","0.3934"
"spy_ret_1d","-0.062","0.0289"
"spy_ret_5d","-0.0411","0.1471"
"spy_vol_10d","0.0426","0.1335"
"qqq_ret_1d","-0.0672","0.0177"
"qqq_ret_5d","-0.0345","0.2246"
