query,seendate,url,title,description,language,domain,sourceCountry,socialimage,company,ticker
"(""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)",2026-01-15 02:45:00+00:00,https://news.dahe.cn/2026/01-15/2043950.html,趴地菠菜  支棱  背后的品质逻辑 - 大河网,,Chinese,news.dahe.cn,,,Apple,AAPL
"(""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)",2026-01-15 02:45:00+00:00,https://technews.tw/2026/01/14/memory-bottleneck-could-push-pc-shipments-back-to-pre-pandemic-lows-in-2026/,記憶體衝擊 2026 年 PC 出貨恐跌回疫情前低點 ， IDC 點名華碩 、 宏碁 、 微星受考驗,,Chinese,technews.tw,,https://img.technews.tw/wp-content/uploads/2022/01/04171315/shutterstock_1445581088.jpg,Apple,AAPL
"(""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)",2026-01-15 02:45:00+00:00,https://biz.heraldcorp.com/article/10656118,"LG이노텍 , 미래먹거리  FC BGA  인재 수혈",,Korean,biz.heraldcorp.com,,https://wimg.heraldcorp.com,Apple,AAPL
"(""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)",2026-01-15 02:45:00+00:00,https://movieweb.com/guy-ritchie-fountain-of-youth-apple-tv-streaming-success-january-2026/,Guy Ritchie $180 Million Straight - to - Streaming  National Treasure  Replacement Makes a Comeback as His Biggest Sleeper Hit,,English,movieweb.com,,https://static0.moviewebimages.com/wordpress/wp-content/uploads/2025/10/img_2025-10-06-002042.jpg?&fit=crop,Apple,AAPL
"(""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)",2026-01-15 02:30:00+00:00,https://www.tmtpost.com/7843304.html,2025年手机行业 ， 谁在高端路上  扑街 ， 谁在AI里  修仙 ？- 钛媒体官方网站,,Chinese,tmtpost.com,,,Apple,AAPL
"(""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)",2026-01-15 02:30:00+00:00,https://finance.mingpao.com/fin/instantf/20260115/1768437077325/%E7%BE%8E%E8%82%A1-%E9%87%91%E9%BE%8D%E6%8C%87%E6%95%B8%E9%80%A3%E8%B7%8C%E5%85%A9%E6%97%A5-%E9%81%93%E6%8C%87%E8%B7%8C42%E9%BB%9E,美股 、 金龍指數連跌兩日 道指跌42點 ( 08 : 27 ) - 20260115 - 即時財經新聞,,Chinese,finance.mingpao.com,,https://fs.mingpao.com/fin/20260115/s00010/f40a6f66731341adbe0f9ebb363d77cf.jpg,Apple,AAPL
"(""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)",2026-01-15 02:30:00+00:00,https://www.webwire.com/ViewPressRel.asp?aId=349180,Kimpton Debuts in Malaysia : Where Soul Meets City,,English,webwire.com,,https://photos.webwire.com/prmedia/8/349180/349180-1-m.jpg,Apple,AAPL
"(""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)",2026-01-15 02:30:00+00:00,https://www.kyodo.co.jp/pr/2026-01-15_3986145/,青森県黒石市との地域共創企画第2弾 伝統工芸  津軽塗  で仕上げた 「 ルビンのこけし 」 が新登場 | プレスリリース,,Japanese,kyodo.co.jp,,https://www.kyodo.co.jp/kyodopress_cms/wp-content/themes/kyodopress2/assets/img/ogp.jpg,Apple,AAPL
"(""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)",2026-01-15 02:30:00+00:00,https://stock.hexun.com/2026-01-15/223163247.html,美股再现关税利空 ！ 三大指数集体杀跌 ！- 股票频道 - 和讯网,,Chinese,stock.hexun.com,,https://fs-cms.hexun.com/img/2026-01-15/223163248.png,Apple,AAPL
"(""Apple"" OR AAPL) (stock OR shares OR earnings OR revenue)",2026-01-15 02:30:00+00:00,https://finance.eastmoney.com/a/202601153620130963.html,字节正研发新一代豆包AI耳机 由歌尔股份代工 _ 东方财富网,,Chinese,finance.eastmoney.com,,,Apple,AAPL
